"Spalte1","klimatische(r) Stressor(en)","Anpassungsmaßnahme","Branche(n)","Unternehmensbereich / Handlungsfeld","Unternehmen","Land","Naturraum","Beschreibung","Textstelle(n)","Spalte2","Spalte3","Spalte4","Spalte5","Spalte6","Spalte7","Spalte8","Spalte9","Spalte10"
,"Dürre","Niedrigwasserproblematik: Einsatz von Schiffen mit weniger Tiefgang bei gleicher Tonnage","Logistik","Innovationen im Geschäftsmodell; sonstige technische Maßnahmen","Hafen Karlsruhe","Deutschland","Tieflagen","um bei Niedrigwasser noch länger die gewohnte Ladung transportieren zu können","HKA: Dem Problem muss sich auch die Binnenschifffahrt in den nächsten Jahren stellen. Zum Beispiel mit dem Bau kleinerer Schiffe, die weniger Tiefgang haben.",,,,,,,,,
,"Dürre","Niedrigwasser: Förderung der Interessensvertretung der Rheinschifffahrt bei politischen Entscheidungsträgern ","Logistik","Management & Arbeitsorganisation","PAS","Frankreich","Tieflagen","auf verschiedenen Ebenen (EU, national, Zentralkommission für Rheinschifffahrt)","Ory 2020: les participants ont décidé de promouvoir leurs intérêts communs auprès de l’Europe, la France et CCNR à propos de cette problématique",,,,,,,,,
,"Dürre","Niedrigwasser: Verbesserung und frühere Kommunikation der Vorhersagen zur Schiffbarkeit des Rheins","Logistik","Management & Arbeitsorganisation","PAS","Frankreich","Tieflagen","zur besseren und frühzeitigeren Planung bei Niedrigwasser, auch mit Hilfe gemeinsamer Indikatoren (Relation Wasserpegel / Tonnage)","Ory 2020: Une autre mesure d’adaptation aux basses eaux consiste à mettre à disposition des partenaires des outils permettant une plus grande prévisibilité de ces périodes d’étiage. En effet, l’anticipation est primordiale pour permettre aux chaînes logistiques de s’adapter à ces phénomènes. Lors du colloque « Basses eaux et impact sur la navigation rhénane », M. Schreuder, conseiller principal en navigation intérieure au Rijkswaterstaat, a expliqué que la navigation rhénane a besoin « d’une bonne connaissance de la géographie de la zone de navigation, des prévisions relatives aux hauteurs d’eau en temps réel et du niveau d’eau à court terme (3 à 6 jours) [pour] prévoir les flux de trafic et calculer l’heure estimée d’arrivée d’un bateau",,,,,,,,,
,"Dürre","Niedrigwasser: Durchführung von spezifischen Impact-Analysen","Logistik","Management & Arbeitsorganisation","PAS","Frankreich","Tieflagen","für spezifische Impacts an verschiedenen Rheinhäfen und verschiedene Geschäftsbereiche","Ory 2020: Il s’agit ensuite pour les partenaires de caractériser la navigabilité en période d’étiage en créant des indicateurs communs mettant en relation les variations des niveaux d’eau à différents points du Rhin, avec les capacités de chargement et l’évolution des coûts du fret. Les conteneurs, les matériaux solides en vrac et les matériaux secs en vrac devront faire l’objet d’analyses et de propositions de solution distinctes",,,,,,,,,
,"Dürre","Niedrigwasser: Aufstellung eines koordinierten Einsatzplans für Niedrigwassersituationen ","Logistik","Management & Arbeitsorganisation","PAS","Frankreich","Tieflagen","bei einer zentralen Behörde, z. B. Zentralkommission für Rheinschifffahrt","Ory 2020: Au cours de leurs concertations, les partenaires ont en outre décidé de définir un plan d’intervention coordonné en cas de basses eaux au sein d’une instance de gouvernance élargie aux chargeurs",,,,,,,,,
,"Dürre; Hitze","regelmäßiges & langfristiges Wasserressourcenmonitoring","Getränkeindustrie; Wasserversorgung","Management & Arbeitsorganisation; Wasser","Kleines Bierhaus; Lieler; Eptinger; SWMS","Deutschland; Schweiz","Tieflagen; mittlere Lagen","zur Abschätzung der Notwendigkeit und Dringlichkeit von Anpassungsmaßnahmen; umfasst Messung von Pegelständen, Wasserqualität, Trendrechnungen, u.a.","Bierhaus: Krieger:Und was bedeutet, dass Sie die Quellen ‚hegen und pflegen‘? Herr:Zumindest, dass die Technik läuft, dass die Rohre in Ordnung sind, dass die Wasserpumpe in Ordnung ist und dass man regelmäßig das Wasser überprüft, ob es Veränderungen gibt. Ob man vielleicht doch nochmal tiefer bohren muss in 5 Jahren, 10 Jahren. Das kann schon passieren. ","Lieler: man   schaut   schon   darauf,   dass   man   weniger  Wasser   gibt   als  dass  nachläuft.   Das Wassereinzugsgebiet hat ja einen bestimmten Umkreis unterirdisch und dass man schaut –da  hat  man   oft  dann   so  eine   Absenkung   imBrunnen   drin,  auch  alles   automatisch aufgenommen –dass  diese  Absenkung  gar  nicht  mehr  unter  ein  bestimmtes  Niveau  geht, sodass  man  immer  genug  Wasser  vorhanden  hat. [...] Man untersucht ja auch die Mineralstoffe jährlich, es gibt aber eine natürliche geo-, genedingte Abnahme je nach Gesteinsschicht im Mineralwasser an sich.","Eptinger: Die  Qualität  vom  Wasser  messen  wir  natürlich  ständig  überall  und  das  wird alles  dokumentiert.","SWMS:  ja  man  muss  einfach  wirklich  ständig  immerwieder   Monitoring   machen.   Und   wir   haben   ja   überall   Messstellen,   aber   auch   was Wasserverluste angeht muss man mal gucken, dass man nicht so viel Wasserverluste im Netz hat. Wir machen diese Pegelmessungen, wir gucken wieviel die Quellen schütten",,,,,,
,"Dürre; Hitze","Anschaffung leistungsfähigerer Pumpen","Wasserversorgung","sonstige technische Maßnahmen","SWMS","Deutschland","Tieflagen","zur schnelleren Befüllung von Hochbehältern in Spitzenzeiten, v.a. Hitzewellen","SWMS: Also  wir  hatten  letztes  Jahr  in  Staufen  den  Fall,  dass  die Wasserversorgung  an  ihre  Grenzen  gekommen  ist,  nicht  von  der  Menge  des  Wassers, sondern weil dann wirklich die Pumpen nicht mehr leistungsfähig genug waren. Und auch das war jetzt vor kurzem in der Presse, dass eben oft die Infrastruktur an sich unterdimensioniert ist, oft in diesen Spitzenzeiten. Wenn dann das Schwimmbad Wasser zieht, was wahnsinnig viel  Wasser  zieht,  dann  noch eben  der  Sportverein,  der  seinen  Fußballplatz  bewässert und dann die Haushalte alle noch den Garten gießen, dann kann einfach der Hochbehälter nicht mehr   schnell   genug   befüllt   werden,   weil   die   Pumpen   nicht   mehr   dementsprechend dimensioniert sind. Die sind auch schon entsprechend alt und auch da müssen wir aufpassen, dass wir diese Pumpen regelmäßig kontrollieren und ggf. erneuern und dann leistungsfähigere Pumpen einsetzen. [...] D.h. die Pumpen, die damals überlastet waren,  müssen  wir  jetzt  austauschen,  damit  wir  zukünftig  solche  Spitzenzeiten  auch überbrücken können, weil wir davon ausgehen, dass sie zunehmen werden. Und wir sind ja hier  auch  eine  Zuzugsregion,  also  nicht  nur  Freiburg,  sondern  auch  das  ganze  Markgräfler Land.  Immer  mehr  Leute  ziehen  in  die  Region,  was  natürlich  auch  den  Wasserverbrauch insgesamt erhöht.",,,,,,,,,
,"Dürre; Hitze","Ausbau der Wasserspeicherkapazitäten, v.a. von Niederschlagswasser ","Wasserversorgung; Landwirtschaft","Bauliche Maßnahmen; Wasser ","SWMS","Deutschland","Tieflagen","z. B. durch Einrichtung größerer Hochbehälter oder Wassereservoire","SWMS: es gibt ja schon die genialsten Bewässerungssysteme –dass man Starkregenereignisse nutzt, das Wasser sammelt vor Ort in größeren Behältnissen und dann über Tröpfchenbewässerung das ganze wieder abgibt und wenn man das dann alles mit einer Solaranlage kombiniert","online-Umfrage",,,,,,,,
,"Dürre; Hitze","Erhöhung der Wasserpreise in Spitzenzeiten","Wasserversorgung","Innovation im Geschäftsmodell",,,,"Schaffung eines Anreizes zur Reduktion des Wasserverbrauchs in Trockenperioden","Krieger & Wolf 2021",,,,,,,,,
,"Dürre; Hitze","Erhöhung der Versorgungssicherheit durch Druckerhöhung in Wasserleitungen","Wasserversorgung","sonstige technische Maßnahmen",,,,,"Krieger & Wolf 2021",,,,,,,,,
,"Dürre; Hitze","Tieferlegung des Leitungsnetzes ","Wasserversorgung","bauliche Maßnahmen",,,,"mind. 1,2 m","Krieger & Wolf 2021",,,,,,,,,
,"Dürre; Hitze","verstärkter Anbau trocken- und hitzetoleranter Arten und Sorten","Landwirtschaft","Rohstoffe & Beschaffung; Innovationen im Geschäftsmodell",,,,"z. B. kurzstrohiges Getreidezüchtungen (Roggen), Luzerne, Mais, Soja, Lein, Hirse, Buchweizen, Hanf, hitzeresistente Weinsorten, etc.","Zeller 2021, S. 63","online-Umfrage",,,,,,,,
,"Dürre; Hitze","Ausbau der Eigenproduktion von Futtermitteln","Landwirtschaft","Rohstoffe & Beschaffung; Management & Arbeitsorganisation",,,,"zur Unabhängigkeit von Lieferschwankungen v.a. in Dürrejahren","Zeller 2021, S. 63","online-Umfrage",,,,,,,,
,"Dürre; Hitze; allg. Temperaturanstieg","Entwicklung und Züchtung neuer, klimaangepasster Sorten","Getränkeindustrie","Rohstoffe & Beschaffung","Decker Bier","Deutschland","Tieflagen","z. B. Hopfen, kurzstrohiges Getreide (Roggen)","Decker: Das ist so eine Sache, wo der Klimawandel das erste Mal auf den Tisch kam. Welche Malz-und vor allem welche Hopfensorten gibt es denn in Zukunft noch? Wird es vielleicht neue Sorten, Ersatzsorten geben für Hopfen, der jetzt nicht mehr so gedeiht oder dessen Qualität nicht mehr so gut ist? [...] Die Hopfenzüchtungen werden von Instituten gemacht, die uns auch schon kontaktiert haben.Die investieren jetzt  verstärkt  in  die  Erforschung  neuer  Sorten  und  rufen  auch  die  Industrie  auf, unterstützend tätig zu werden. Das war das erste Mal, dass ich gemerkt hab: oha, das könnte unser Produkt und unser Business verändern",,,,,,,,,
,"Dürre; Hitze; allg. Temperaturanstieg; Starkregen; Gewitter & Hagel","Ausgleichen von Qualitäts- und Preisschwankungen bei landwirtschaftlichen Produkten durch Mischen mit Vorjahresernte","Getränkeindustrie","Rohstoffe & Beschaffung; sonstige technische Maßnahmen","Decker Bier","Deutschland","Tieflagen","z. B. im Brauereisektor: ""Blenden"" = Mischen mit Vorjahreshopfen","Decker: Habt ihr da auch Preisschwankungen gemerkt, z. B. war im Trockenjahr 2018 der Hopfen teurer oder so was? Schneider:Ja. Es wird natürlich teurer, wenn das Zeug weniger ist, oder wenn es besser ist. Meistens ist es weniger. Wir blenden dann auch ein bisschen. [..] Die Großindustrie macht das auch,  die  haben  Fässer oder  Tanks  [mit  Hopfen bzw.  Hopfenöl]  und  können mixen, wie  sie wollen.Wir machen das ein bisschen im Kleinen und mixen den Doldenhopfen halb halb mit der  Vorjahresernte,  wenn  die  gut  gelagert  und  vakuumiert  gewesen  ist,  sonst  schmeckt  es nicht mehr. Wenn ein Bier mit altem Hopfen gebraut worden ist nennt man es Käsefuß, weil es    genauso    dann    riecht.    Nicht    mehr    lecker.    So    versucht    man    Betriebs-und Preisschwankungen auszugleichen. Das bietet einem auch der Hopfenbauer an, denn er hat meistens  noch  Restbestände  aus  dem  Vorjahr.  Der  sagt  dann:  wenn du das  nur  zum Bitterhopfen benutzt, kannst Du das ruhig ein bisschen blenden. Für die Kalthopfung, wenn’s um  tolle  Aromen  geht,  dann  nimm  doch  das  frische  Zeug. Da  arbeitet  man  eng  mit  denen zusammen.",,,,,,,,,
,"Dürre; Hitze; allg. Temperaturanstieg","Anpassung von Rezepturen an sich verändernde Rohstoffe","Getränkeindustrie","Innovation im Geschäftsmodell","Decker Bier","Deutschland","Tieflagen","v.a. Hopfengeschmack verändert sich","Decker: Da sind wir schon ein bisschen jetzt auch hintendran, zu gucken: Machen wir andere Biersorten? Oder verändern wir die Rezeptur? Auch jetzt schon so, damit wir einen milden  Übergang  machen,  dass  der  Kunde nicht  sich  abgeschreckt  fühlt,  wenn  das  Bier plötzlich ganz anders schmeckt? Oder machen wir das tatsächlich so, dass wir das auch zum Thema  machen  und  warum  das  jetzt  anders  ist?  Ich  denke  das  wird  so  die  erste  große Aufgabe, die der Klimawandel auslöst.",,,,,,,,,
,"Dürre; allg. Temperaturanstieg","Schutz und Pflege von Wasserneubildungsgebieten und Quellschüttungen","Wasserversorgung","Wasser","SWMS","Deutschland","Tieflagen","z. B. durch Schutz und Anpassung des umgebenden Waldbestands","SWMS: Das  ist  schon  diese  Trockenheit  und  Dürren  und  die  Hitzewellen.  Das  sind einfach die Sachen, die uns vom Unternehmen mit Abstand am meisten beschäftigen was die Wasserversorgung   angeht.   Wobei   z.B.   diese   Waldschäden   sich   auch   direkt   auf   die Wasserversorgung  auswirken, weil wir  ja  auch  Quellen  anzapfen  für  die  Wasserversorgung und da spielt der Wald natürlich auch eine ganz wichtige Rolle, d.h. da haben wir auch was im Fokus  und  da  Spenden  wir  auch  jedes  Jahr  ganz  viel  Geld, um  Aufforstungsprojekte voranzutreiben und Bäume zu pflanzen die dann auch den neuen Gegebenheiten angepasst sind",,,,,,,,,
,"Dürre; allg. Temperaturanstieg","Wasseraufbereitung von Trinkwasser durch Versickerung, ohne Einsatz von Chemikalien","Wasserversorgung","Wasser","IWB","Schweiz","Tieflagen","natürlicher Reinigungsprozess, abhängig von geologischen Verhältnissen, benötigt Schotterkörper","IWB: Ich sehe das Modell von IWB als best-practice, weil wir ein sehr gutes System haben, das auf Chemikalien verzichten kann und die natürlichen Ressourcen seit Jahrzehnten nutzt. Unsere Wasserversorgung funktioniert seit mehr als 50 Jahren und in den letzten 50 Jahren gab es schon diverse Ereignisse, klimatische Veränderungen oder Extremereignisse. „Extrem“ -das kann man jetzt nicht vergleichen mit den letzten 15 Jahren, aber es hat sich doch viel verändert  in  den  letzten  50  Jahren.  Weiterhin  haben  wir  immer  wieder  Delegationen  aus Fernost, aus Japan oder den USA, die unsere Trinkwasserversorgung besichtigen, um daraus zu   lernen   und   unter   Umständen   auch   adaptieren   zu   können.   Also   das   Nutzen   von Flusswasser, den natürlichen Reinigungsprozess –das sehe ich schon als best-practice an.",,,,,,,,,
,"Dürre; allg. Temperaturanstieg","Ausbau von Mischsystemen in der Trinkwasserversorgung ","Wasserversorgung","Wasser; bauliche Maßnahmen","IWB; SWMS; badenova","Schweiz; Deutschland","Tieflagen; mittlere Lagen; Hochlagen","nicht nur durch Grund- und Quellwasser sondern auch über größere Fließgewässer; schon seit längerer Zeit implementiert","IWB: Aber  es  vor  allem  ist  wichtig,  die Trinkwasserversorgung, wenn möglich,nicht alleinig auf Grundwasser zu stützen, sondern auf natürliche Zuflüsse oder auf größere Gewässer. Das bietet eine höhere Sicherheit.","SWMS: Wir haben sowohl für Müllheim als auch für Staufen ein Mischsystem, d.h. wir holen einmal das relativ weiche  Wasser  aus  den  Quellen  aus  dem  Schwarzwald,  aber das  ist  von  der  Menge  her natürlich  wesentlich  weniger  als wir brauchen,  und mischen das dann  mit  Rheinwasser aus dem  Aquifer  vom  Rhein.  Und  der  ist  riesengroß  und  da  sind  wir  nicht  die  einzigen  die  da Wasser  rausziehen,  sondern  das  sind  viele  Kommunen  hier  im  Oberrheingebiet.  Und  je trockener  es  ist,  desto  mehr  mischen  wir  natürlich  das  Rheinwasser  zu  und  desto  mehr verändert sich dann auch die Wasserhärte, was der Endverbraucher dann auch wieder merkt, wenn mehr Kalkablagerungen da sind und manche sagen sie schmecken es auch. Von daher hat  man  damals  schon  reagiert,  dass  man  ursprünglich  nur  von  Quellwasser  auf  so  ein Mischsystem   übergegangen   ist   und   dann   auch   Kooperationen   eingegangen   ist   mit Nachbarkommunen,  dann  Versorgungsleitungen  auch  gelegt  wurden, dass  man  quasi redundant ist und jeder notfalls den anderen versorgen kann.Krieger:Im Falle des Notstandes sozusagen?Elias:Richtig.","badenova: Wir  haben  in  der Rheinebene  draußen  unser  zweites  großes  Wasserwerk,  das  Wasserwerk  in  Hausen.  In Hausen können wir bis zu 4800 Kubikmeter in der Stunde fördern, d.h. es ist komplett möglich Ebnet zu ersetzen über dieses Werk. Normalerweise fördern wir nicht über 2000 Kubik und das  auch  nur  über  den  halben  Tag.  1000  Kubik  in  der  Stunde  eigentlich  im  Durchsatz in Hausen. Von daher können wir Hausen entsprechend hochspeisen, um damit das gesamte System immer [...]. Vorausgesetzt das Werk fällt nicht aus, das ist das andere",,,,,,,
,"Dürre; Hitze; Starkregen","Vernetzung mit Stakeholdern im Wassereinzugsgebiet zur Verbesserung der Wasserqualität ","Getränkeindustrie","Wasser; Management & Arbeitsorganisation","Lieler","Deutschland","Tieflagen","z. B. Silikatgehalt, Eintrag von Schadstoffen","Lieler:  Wir hatten es mit anderen Interviewpartner nämlich auch darüber wie das Quellmanagement ist und ob da auch eine... Also da ja die Wälder als Biotop natürlich sehr essentiell sind wie sich auch die Quelle verhält, wie da auch die Infiltrationsrate etc. ist. Gibt es da Kooperationen, bspw. mit Förstern oder mit der Waldwirtschaft bei Ihren Quellen oder nicht? [...] Also  umso  mehr  Informationen  man  zu  seinem  Wassereinzugsgebiet bekommt, desto besser kann man auch darauf reagieren. Was aktuell so ein bisschen anläuft, Thema Nachhaltigkeit bzw. mit Biolandwirte also Ökolandwirte, dass man da schaut in seinem Wasserentstehungsgebiet  was  kann  man  tun, um  noch  nachhaltiger  oder  noch  besser  ins Wasser  noch  weniger  Eintrag  zu  bekommen  und  da  wie  die  ihre  Bäume  oder  ihre  Acker behandeln spielt da nachher auch für den Klimawandel tlw. eine Rolle.",,,,,,,,,
,"Hitze; Dürre; Hochwasser; Starkregen","Verlegung größerer Versorgungsleitungen","Wasserversorgung","bauliche Maßnahmen",,,,"zur Erhöhung der Abflusskapazität bei Starkregen oder der Lieferkapazität bei Spitzenlast","Krieger & Wolf 2021",,,,,,,,,
,"Dürre; Starkregen","Ausbau der Speicherung von Niederschlagswasser, z. B. in Regenwasserrückhalteanlagen","Wasserversorgung; Nahrungsmittelindustrie","bauliche Maßnahmen; Wasser","SWMS","Deutschland","Tieflagen","z. B. Wassergewinnung auf versiegelten Flächen von landwirtschaftlichen Betrieben, Speicherung unterirdisch; zur Bewässerung in der Landwirtschaft","SWMS: es gibt ja schon die genialsten Bewässerungssysteme –dass man Starkregenereignisse nutzt, das Wasser sammelt vor Ort in größeren Behältnissen und dann über Tröpfchenbewässerung das ganze wieder abgibt und wenn man das dann alles mit einer Solaranlage kombiniert. Man kann inzwischen wirklich sehr sehr viel machen. Dass ich  dann  eben  nicht  auf  das  Trinkwasser  zurückgreifen  muss,  und  das  sollte  das  Ziel  sein. Sondern  dass  das  Wasser,  das  da  oft  in  kurzer  Zeit  sehr  heftig  runterkommt,  dass  ich  das versuche  lokal  aufzufangen.  Viele  Höfe  haben  Riesen  Dachflächen,das  kann  viel  Wasser auffangen.  Und  das  dann  eben  bei  Bedarf,  nicht  großflächig  verpulvern,  sondern  über Tröpfchenbewässerung  oder  ähnliches  dann  gezielt  einsetze. [...] Und das wird allein mit dem Regenwasser, das man auffängt, nicht reichen das ganze Jahr. Da muss man wahrscheinlich dann kombinieren, dass man  versucht  das  Regenwasser  in  irgendwelchen  größeren  unterirdischen  Anlagen  zu speichern, damit die Verdunstung nicht so groß ist und dann den Rest eben weiterhin mit dem Tiefbrunnen abdeckt.","Dörr 2021, S. 45",,,,,,,,
,"Dürre; Starkregen","Schutz und Ausbau von Grünland","Landwirtschaft","Rohstoffe & Beschaffung",,,,"zum Schutz vor Erosion, zur Versickerung bei Starkregen, zur Förderung der Biodiversität","Zeller 2021, S. 67","https://www.umweltbundesamt.de/daten/land-forstwirtschaft/gruenlandumbruch#okologische-bedeutung-des-grunlands",,,,,,,,
,"Dürre; Hochwasser","Niedrig- und Hochwasserproblematik: Förderung der Multimodalität, insbesondere Ausbau der Förderkapazitäten mit der Bahn","Logistik","sonstige technische Maßnahmen; Management & Arbeitsorganisation","Contargo; PAS","Deutschland; Frankreich","Tieflagen","zum Abfedern von Verdienstausfall bei Niedrig- und Hochwasser","Kolhof et al. 2018, S. 17","Ory 2020: Afin d’organiser localement les solutions alternatives à la voie d’eau et les valoriser, le PAS mise en 2020 sur le développement de la multimodalité et la mise en œuvre du projet de création d’un hub ferroviaire. L’existence d’une plateforme multimodale et la coopération entre les différents types de transport sont essentielles lorsqu’il s’agit d’assurer l’approvisionnement des matières premières présentant un risque particulièrement élevé de pénurie. C’est pourquoi le PAS a souhaité moderniser la gare de triage à Strasbourg, ""dans la perspective d’une hausse durable du nombre de trains à y accueillir"", selon Frédéric Doisy, directeur général délégué du Port autonome",,,,,,,,
,"Hochwasser; Starkregen","strikte Trennung von Abwasser und Trinkwassersystemen ","Wasserversorgung","bauliche Maßnahmen","SWMS","Deutschland","Tieflagen","zur Vermeidung von Kontamination von Trinkwasser; Maßnahme ist gängige Praxis - gesetzlich vorgegeben; bei Hochwasser gelangen häufig Schadstoffe ins Abwassersystem","SWMS: Was wichtig ist, ist das die ganzen Systeme stark getrennt sind, Abwasser, Hochwasser. Auch bei Hochwasser, dass einfach niemals kontaminiertes Wasser -und wenn es nur Regenwasser ist -irgendwie in die Wasserversorgung kommt. Aber da sind wir –und nicht nur wir –alle so entsprechend aufgestellt durch die Vorgaben, in welcher Bodentiefe die Leitungen liegen müssen, dass die Systeme komplett getrennt sind",,,,,,,,,
,"Hochwasser","Bau von Hafen-Sperrbauwerken","Logistik","bauliche Maßnahmen","Hafen Karlsruhe","Deutschland","Tieflagen"," zur Vermeidung von Überflutungen durch große Flüsse","HKA: Also das Thema Starkregen ist insofern für den Rheinhafen selbst unkritisch, weil, wenn es durch Starkregen tatsächlich zu Überschwemmungen am oder auf dem Rhein käme oder kommt, haben wir am Hafen das Hafensperrtor, das heißt das Thema Hochwasser, das da vielleicht folgen könnte, wird dann dadurch sozusagen beendet, weil dann das Hafensperrtor geschlossen wird. Und alles was hinter dem Hafensperrtor ist, wie der Rheinhafen Karlsruhe, wird aus diesem Grund verschont. Das heißt die Überschwemmungen durch Starkregen ist im Prinzip für den Rheinhafen kein Thema",,,,,,,,,
,"Hochwasser; Starkregen","Über Hochwasser- und Starkregenrisiko am Standort erkundigen ","Logistik","Management & Arbeitsorganisation","Hafen Kehl","Deutschland","Tieflagen","z. B. hier: https://www.hochwasser-pass.com/Hochwasser   --> vom Klimavorsorgeportal der Bundesregierung empfohlen; erarbeitet vom Hochwasser Kompetenz Centrum (HKC) e.V.","HKE: Die Unternehmen haben sich sicherlich auch darauf eingestellt auf solche Starkregenereignisse, aber sowas wird ja im Vorfeld bei der Ansiedlung solcher Unternehmen schon bedacht. Es gibt ja diese Hochwassergefahrenkarten, die man nachschauen kann.",,,,,,,,,
,"Hochwasser; Starkregen; Gewitter & Hagel; Sturm; Schnee; Hitze","Digitalisierung von Arbeitsabläufen zur Ermöglichung von Home Office","Wasserversorgung; Bausektor; Verarbeitendes Gewerbe","Management & Arbeitsorganisation; Verhalten","SWMS; C2","Deutschland","Tieflagen"," z. B. an heißen Tagen, bei Unzugänglichkeit des Unternehmensstandorts, zur Fernsteuerung von Wasserversorgungseinrichtungen in Notfällen, etc.","SWMS: Eine Anpassung ist, dass wir überall versuchen flexibler zu werden, d.h. wir  werden mobiler.  Unsere  Mitarbeiter  sollen  von  überall  alles  steuern  können.  D.h.  der Wassermeister kann mittags seinen Arbeitsplatz zuklappen, mitnehmen nach Hause und dann wieder   aufklappen   und   dann   von   da   die   komplette   Wasserversorgung   steuern   und kontrollieren. Und das ist schon wichtig, wenn man schnell reagieren muss. Und das hat es vor  15  Jahren  auch  noch  nicht  so  gegeben,  inzwischen  ist  das  Stand  der  Technik  und  das sollte man überall haben und da versuchen wir auch schon noch genauer zu werden","Hars et al, S. 57",,,,,,,,
,"Hochwasser; Starkregen; Gewitter & Hagel; Sturm; Schnee","flexibles Management: schnelle Reaktionen auf Extremereignisse","Energiewirtschaft; Wasserversorgung","Management & Arbeitsorganisation; Verhalten","IWB; SWMS","Schweiz; Deutschland","Tieflagen",,"IWB: Man  sieht  jetzt  durch  die  Corona-Krise,  dass Unternehmen   ein   gutes   Krisenmanagement   brauchen.   Energieversorger   haben   das traditionell,  weil  sie  schnell  reagieren  müssen,  zum  Beispiel  bei  Stromausfällen  oder Leitungsbrüchen in der Trinkwasserversorgung. Das ist ein Vorteil. Es braucht Management, das flexibel ist und schnell reagieren kann und das gilt eben auch für schnelle Veränderung, die  nach  meiner  Einschätzung  in  den  nächsten  Jahren  und  Jahrzehnten  eher  vorkommen werden als in den vergangenen 40, 50 Jahren.","SWMS: Eine Anpassung ist, dass wir überall versuchen flexibler zu werden, d.h. wir  werden mobiler.  Unsere  Mitarbeiter  sollen  von  überall  alles  steuern  können.  D.h.  der Wassermeister kann mittags seinen Arbeitsplatz zuklappen, mitnehmen nach Hause und dann wieder   aufklappen   und   dann   von   da   die   komplette   Wasserversorgung   steuern   und kontrollieren. Und das ist schon wichtig, wenn man schnell reagieren muss. Und das hat es vor  15  Jahren  auch  noch  nicht  so  gegeben,  inzwischen  ist  das  Stand  der  Technik  und  das sollte man überall haben und da versuchen wir auch schon noch genauer zu werden.",,,,,,,,
,"Hochwasser; Starkregen; Gewitter & Hagel; Sturm; Schnee; allg. Temperaturanstieg","Förderung kurzer Versorgungswege und Lieferketten ","Forst- und Holzwirtschaft; Bausektor","Management; Rohstoffe & Beschaffung","Studio Plastik",,,"zur Reduzierung der Anfälligkeit bei klimatischen und anderen Extremereignissen und zur Reduzierung der Emissionen durch weite Transportwege","Studio P: Bezug der Ware von regionalen Steinbrüche",,,,,,,,,
,"Starkregen; Hochwasser","Bereithaltung von mobiler Risikoinfrastruktur (Sandsäcke, Wasserschieber)","Wasserversorgung; Logistik","sonstige technische Maßnahmen","Evola","Deutschland","Tieflagen","mobile Risikoinfrastruktur sind z. B. Sandsäcke, mobile Hochwasserdämme, mobile Pumpen","Evola: Ich meine ja natürlich als ich das erste Mal von so einem Starkregenereignisse überrascht worden bin, habe ich erst einmal solche Wasserschieber gekauft, um das eingetretene Wasser wieder relativ schnell aus der Halle raus zu bekommen",,,,,,,,,
,"Starkregen; Hochwasser","Aufstellung eines Notfallplans, Einrichtung eines Hochwasser-Bereitschaftsdienstes und Frühwarnsystems","Wasserversorgung; Logistik","Management & Arbeitsorganisation; sonstige technische Maßnahmen","Hafen Kehl","Deutschland","Tieflagen",,"Krieger & Wolf 2021","HKE: Auch die Versicherungen verlangen den Nachweis zu führen heutzutage, was kann bei euch passieren bei extremen Wasserspiegellagen. Dem muss man schon Rechnungen tragen und auch einen Notfallplane aufstellen",,,,,,,,
